,0
0,Alabama
1,Connecticut
2,Delaware
3,Georgia
4,Hawaii
5,Idaho
6,Illinois
7,Indiana
8,Iowa
9,Kansas
10,Kentucky
11,Louisiana
12,Maine
13,Maryland
14,Massachusetts
15,Michigan
16,Minnesota
17,Missouri
18,Montana
19,Nebraska
20,Nevada
21,New Hampshire
22,Oklahoma
23,Oregon
24,Pennsylvania
25,Rhode Island
26,Tennessee
27,Vermont
28,Virginia
29,Washington
30,West Virginia
31,Wisconsin
32,Wyoming
